latitude,longitude,elevation,heading,hcurv,surfasl,surfxsl,deadreck,numlns,trlnlmt,lelnrmt,rilnlmt,trlnwid,tmpln,lerdedg,rirdedg,hovln,aproad,ovpbr,tolpl,rdencl,spdlim,rdnam,ovhdsgn,lnsplmert,lnsplmerl,rdtyp,extsymtxt,locsymtxt,const,gmfa,opnsgmt,trffclgt,gntry,jumpflag,distance,virlnsplmert,ramlane2,tralineno
29.69646701,106.62152669,0,25.84301676,-0.00095902,1.52965938,-2.33667401,0,3,1,1,1,375,0,1,1,0,0,0,0,0,80,Airport Road,0,0,0,2,0,0,0,0,0,0,0,0,0.00000000,0,0,2
29.69647651,106.62153185,0,25.98574568,-0.00095902,1.52965938,-2.33667401,0,3,1,1,1,375,0,1,1,0,0,0,0,0,80,Airport Road,0,0,0,2,0,0,0,0,0,0,0,0,1.14408807,0,0,2
29.69648573,106.62153727,0,26.18304913,-0.00105250,1.52965938,-2.35610410,0,3,1,1,1,375,0,1,1,0,0,0,0,0,80,Airport Road,0,0,0,2,0,0,0,0,0,0,0,0,1.14408807,0,0,2
29.69649414,106.62154188,0,26.18304913,-0.00092198,1.52965938,-2.40526194,0,3,1,1,1,375,0,1,1,0,0,0,0,0,80,Airport Road,0,0,0,2,0,0,0,0,0,0,0,0,1.01638631,0,0,2
29.69650228,106.62154677,0,26.14639708,-0.00084531,1.52965938,-2.51813147,0,3,1,1,1,375,0,1,1,0,0,0,0,0,80,Airport Road,0,0,0,2,0,0,0,0,0,0,0,0,1.01484876,0,0,2
29.69651069,106.62155138,0,26.18304913,-0.00085090,1.52965938,-2.49470280,0,3,1,1,1,375,0,1,1,0,0,0,0,0,80,Airport Road,0,0,0,2,0,0,0,0,0,0,0,0,1.01638631,0,0,2
29.69651883,106.62155599,0,26.18304913,-0.00086236,1.52965938,-2.45677493,0,3,1,1,1,375,0,1,1,0,0,0,0,0,80,Airport Road,0,0,0,2,0,0,0,0,0,0,0,0,1.01638631,0,0,2
29.69652696,106.62156060,0,26.14639708,-0.00086554,1.52965938,-2.46128991,0,3,1,1,1,375,0,1,1,0,0,0,0,0,80,Airport Road,0,0,0,2,0,0,0,0,0,0,0,0,1.01484876,0,0,2
29.69653537,106.62156521,0,26.18304913,-0.00089410,1.52965938,-2.44839239,0,3,1,1,1,375,0,1,1,0,0,0,0,0,80,Airport Road,0,0,0,2,0,0,0,0,0,0,0,0,1.01638631,0,0,2
29.69654351,106.62156982,0,26.18304913,-0.00092090,1.52965938,-2.33221419,0,3,1,1,1,375,0,1,1,0,0,0,0,0,80,Airport Road,0,0,0,2,0,0,0,0,0,0,0,0,1.01638631,0,0,2
29.69655165,106.62157444,0,26.41529403,-0.00093395,1.52965938,-2.20919333,0,3,1,1,1,375,0,1,1,0,0,0,0,0,80,Airport Road,0,0,0,2,0,0,0,0,0,0,0,0,1.01484876,0,0,2
29.69656006,106.62157905,0,26.62994410,-0.00099096,1.52965938,-2.14676115,0,3,1,1,1,375,0,1,1,0,0,0,0,0,80,Airport Road,0,0,0,2,0,0,0,0,0,0,0,0,1.01638631,0,0,2
29.69656928,106.62158447,0,26.64075155,-0.00094918,1.52965938,-2.03316916,0,3,1,1,1,375,0,1,1,0,0,0,0,0,80,Airport Road,0,0,0,2,0,0,0,0,0,0,0,0,1.15639142,0,0,2
29.69657850,106.62158990,0,26.64075155,-0.00093211,1.52965938,-1.95472864,0,3,1,1,1,375,0,1,1,0,0,0,0,0,80,Airport Road,0,0,0,2,0,0,0,0,0,0,0,0,1.15813605,0,0,2
29.69658800,106.62159505,0,26.62994410,-0.00090828,1.52965938,-1.98645116,0,3,1,1,1,375,0,1,1,0,0,0,0,0,80,Airport Road,0,0,0,2,0,0,0,0,0,0,0,0,1.15661046,0,0,2
29.69659722,106.62160048,0,26.80834925,-0.00090203,1.52965938,-1.98239985,0,3,1,1,1,375,0,1,1,0,0,0,0,0,80,Airport Road,0,0,0,2,0,0,0,0,0,0,0,0,1.15813605,0,0,2
29.69660645,106.62160590,0,26.97595047,-0.00094257,1.52965938,-1.98314008,0,3,1,1,1,375,0,1,1,0,0,0,0,0,80,Airport Road,0,0,0,2,0,0,0,0,0,0,0,0,1.15639142,0,0,2
29.69661458,106.62161051,0,26.97595047,-0.00093601,1.52965938,-2.00505606,0,3,1,1,1,375,0,1,1,0,0,0,0,0,80,Airport Road,0,0,0,2,0,0,0,0,0,0,0,0,1.00420384,0,0,2
29.69662272,106.62161540,0,27.00123135,-0.00095144,1.52965938,-2.00568840,0,3,1,1,1,375,0,1,1,0,0,0,0,0,80,Airport Road,0,0,0,2,0,0,0,0,0,0,0,0,1.00616448,0,0,2
29.69663086,106.62162001,0,26.97595047,-0.00096725,1.52965938,-2.02055121,0,3,1,1,1,375,0,1,1,0,0,0,0,0,80,Airport Road,0,0,0,2,0,0,0,0,0,0,0,0,1.00420384,0,0,2
